id	sense
d064.s007.t003	wnlem_long|en#89390
d063.s084.t000	wnlem_long|en#89390
d064.s031.t000	wnlem_long|en#89390
d064.s060.t000	wnlem_long|en#89390
d067.s059.t008	wnlem_long|en#89390
d068.s086.t000	wnlem_long|en#89390
d068.s062.t002	wnlem_long|en#89390
d069.s013.t008	wnlem_long|en#89366
d069.s013.t012	wnlem_long|en#89366
d068.s092.t003	wnlem_long|en#89366
d068.s092.t004	wnlem_long|en#89366
d074.s004.t003	wnlem_long|en#89390
d076.s150.t006	wnlem_long|en#89366
d077.s102.t020	wnlem_long|en#-1
d077.s080.t004	wnlem_long|en#89366
d079.s009.t004	wnlem_long|en#-1
d079.s058.t000	wnlem_long|en#-1
d079.s129.t001	wnlem_long|en#89390
d079.s130.t001	wnlem_long|en#89390
d083.s043.t010	wnlem_long|en#89390
d083.s055.t003	wnlem_long|en#89366
d084.s036.t002	wnlem_long|en#73938
d084.s089.t002	wnlem_long|en#73938
d085.s013.t005	wnlem_long|en#89390
d086.s013.t001	wnlem_long|en#89390
d086.s001.t002	wnlem_long|en#89366
d087.s020.t007	wnlem_long|en#89390
d089.s009.t003	wnlem_long|en#-1
d090.s049.t000	wnlem_long|en#89390
d091.s102.t007	wnlem_long|en#89366
d096.s012.t008	wnlem_long|en#89390
d097.s199.t000	wnlem_long|en#-1
d097.s200.t000	wnlem_long|en#89390
d099.s050.t005	wnlem_long|en#89366
d099.s061.t000	wnlem_long|en#89390
d099.s062.t000	wnlem_long|en#89390
d096.s000.t021	wnlem_long|en#89366
d100.s073.t011	wnlem_long|en#89390
d101.s076.t006	wnlem_long|en#89390
d102.s012.t015	wnlem_long|en#89390
d051.s024.t025	wnlem_long|en#89366
d075.s035.t044	wnlem_long|en#89390
d103.s048.t002	wnlem_long|en#89390
d103.s087.t001	wnlem_long|en#89366
d103.s205.t003	wnlem_long|en#73938
d105.s036.t000	wnlem_long|en#89390
d107.s029.t006	wnlem_long|en#89390
d108.s071.t001	wnlem_long|en#89366
d110.s081.t009	wnlem_long|en#89366
d111.s000.t003	wnlem_long|en#-1
d111.s005.t002	wnlem_long|en#89366
d112.s033.t014	wnlem_long|en#-1
d114.s010.t009	wnlem_long|en#-1
d113.s036.t008	wnlem_long|en#89366
d114.s043.t001	wnlem_long|en#89390
d115.s041.t007	wnlem_long|en#89390
d115.s057.t002	wnlem_long|en#-1
d116.s057.t007	wnlem_long|en#89390
d116.s133.t009	wnlem_long|en#89390
d117.s003.t003	wnlem_long|en#89366
d117.s031.t009	wnlem_long|en#89390
d117.s051.t011	wnlem_long|en#89366
d117.s108.t005	wnlem_long|en#89366
d118.s076.t006	wnlem_long|en#89366
d119.s031.t003	wnlem_long|en#89390
d119.s032.t001	wnlem_long|en#89390
d119.s046.t001	wnlem_long|en#89390
d119.s046.t002	wnlem_long|en#89390
d119.s142.t001	wnlem_long|en#-1
d119.s143.t005	wnlem_long|en#89390
d121.s072.t004	wnlem_long|en#89390
d121.s080.t002	wnlem_long|en#89366
d121.s135.t008	wnlem_long|en#89390
d122.s066.t007	wnlem_long|en#89366
d122.s084.t002	wnlem_long|en#89366
d122.s110.t007	wnlem_long|en#89366
d122.s115.t005	wnlem_long|en#89366
d123.s031.t012	wnlem_long|en#89366
d123.s034.t007	wnlem_long|en#89366
d124.s067.t010	wnlem_long|en#89366
d125.s033.t013	wnlem_long|en#-1
d125.s054.t005	wnlem_long|en#89366
d127.s010.t007	wnlem_long|en#89390
d126.s024.t003	wnlem_long|en#89366
d129.s001.t021	wnlem_long|en#89366
d129.s011.t007	wnlem_long|en#89366
d129.s011.t018	wnlem_long|en#89366
d129.s017.t003	wnlem_long|en#89390
d129.s032.t009	wnlem_long|en#89366
d129.s044.t004	wnlem_long|en#89366
d129.s080.t020	wnlem_long|en#89366
d129.s081.t010	wnlem_long|en#89366
d130.s106.t003	wnlem_long|en#89390
d130.s131.t002	wnlem_long|en#-1
d134.s018.t010	wnlem_long|en#-1
d134.s027.t002	wnlem_long|en#89390
d134.s065.t014	wnlem_long|en#89390
d137.s080.t003	wnlem_long|en#89390
d138.s078.t013	wnlem_long|en#89366
d141.s006.t003	wnlem_long|en#89366
d141.s070.t008	wnlem_long|en#89366
d141.s087.t011	wnlem_long|en#89366
d144.s023.t003	wnlem_long|en#89366
d144.s047.t006	wnlem_long|en#89366
d144.s078.t001	wnlem_long|en#89390
d143.s051.t001	wnlem_long|en#89390
d145.s047.t007	wnlem_long|en#89366
d148.s053.t000	wnlem_long|en#89390
d149.s014.t005	wnlem_long|en#89390
d148.s054.t002	wnlem_long|en#-1
d148.s076.t003	wnlem_long|en#-1
d143.s002.t015	wnlem_long|en#89390
d150.s053.t003	wnlem_long|en#89390
d152.s068.t007	wnlem_long|en#89390
d153.s029.t002	wnlem_long|en#89366
d151.s044.t004	wnlem_long|en#89390
d155.s074.t000	wnlem_long|en#89390
d160.s040.t007	wnlem_long|en#89366
d159.s067.t003	wnlem_long|en#89390
d162.s002.t019	wnlem_long|en#-1
d161.s016.t002	wnlem_long|en#89390
d161.s072.t005	wnlem_long|en#89366
d164.s048.t008	wnlem_long|en#89366
d164.s058.t003	wnlem_long|en#89390
d165.s019.t001	wnlem_long|en#89390
d174.s046.t000	wnlem_long|en#-1
d174.s085.t001	wnlem_long|en#89366
d175.s104.t010	wnlem_long|en#89390
d176.s029.t006	wnlem_long|en#89390
d177.s012.t001	wnlem_long|en#89390
d177.s071.t003	wnlem_long|en#89366
d177.s047.t012	wnlem_long|en#89366
d177.s059.t013	wnlem_long|en#89366
d178.s058.t010	wnlem_long|en#89366
d178.s021.t005	wnlem_long|en#89366
d178.s021.t006	wnlem_long|en#89366
d178.s042.t012	wnlem_long|en#89390
d177.s104.t001	wnlem_long|en#89390
d180.s099.t003	wnlem_long|en#89366
d183.s005.t009	wnlem_long|en#89366
d184.s050.t000	wnlem_long|en#89366
d178.s025.t005	wnlem_long|en#-1
d347.s037.t000	wnlem_long|en#73938
